country,capital info,capital info:de,capital info:es,capital info:fr,capital info:nb,capital info:cs,capital info:ru,capital info:nl,capital info:sv,capital info:pt,capital info:zh,capital info:pl,capital info:it
Pitcairn Islands,,,,,,,,,,,,,
Cocos (Keeling) Islands,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,
Montserrat,"Eruptions in 1997 destroyed the capital city of Plymouth, making Brades the de facto capital.",Nach einer Reihe von Vulkanausbrüchen wurde die eigentliche Hauptstadt Plymouth 1997 aufgegeben und Brades zur de-facto-Hauptstadt.,"Las erupciones de 1997 destruyeron la capital de Plymouth, haciendo Brades la capital de facto.","Des éruptions en 1997 ont détruit la capitale Plymouth, faisant de Brades la capitale de fait.","Vulkanutbrudd i 1997 ødela hovedstaden Plymouth, og Brades ble de facto hovedstad.",,,,,,,,
Saint Helena,,,,,,,,,,,,,
Saint Barthélemy,,,,,,,,,,,,,
Ceuta,,,,,,,,,,,,,
Melilla,,,,,,,,,,,,,
Galápagos Islands,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,
Sint Eustatius,,,,,,,,,,,,,
Easter Island,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,
British Indian Ocean Territory,,,,,,,,,,,,,
Mount Athos,,,,,,,,,,,,,
,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,
Sint Maarten,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,,,,
Azores,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,
Madeira,,,,,,,,,,,,,
Corsica,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,
Sardinia,,,,,,,,,,,,,
Sicily,,,,,,,,,,,,,
Zanzibar,,,,,,,,,,,,,
Canary Islands,The capital is shared between the two cities of Santa Cruz de Tenerife and Las Palmas.,Die zwei Städte Santa Cruz de Tenerife und Las Palmas de Gran Canaria sind zusammen Hauptstädte der Autonomen Gemeinschaft der Kanaren.,La capitalidad es compartida entre las dos ciudades de Santa Cruz de Tenerife y Las Palmas de Gran Canaria.,Le statut de capitale est partagé entre les villes de Santa Cruz et Las Palmas.,De to byene Santa Cruz på Tenerife og Las Palmas på Gran Canaria deler hovedstadsstatusen.,,,,,,,,
Guadeloupe,,,,,,,,,,,,,
Réunion,,,,,,,,,,,,,
Kaliningrad Oblast,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,
Bali,,,,,,,,,,,,,
